Timestamp,age,constumption method,listening regularity,song amount month,song consistency,new discovery freq,discovery methods,similar music taste,connect with others,listen together method,listen together freq,share freq,share method,streaming platform,social features use,extra
2142025 12:37:07,,"Streaming platforms - Spotify; Apple Music; Yandex Music and others|Downloaded files",Everyday,1000+,Mostly,"Pretty often; every week or so","From people I know|Non-specialized online platforms - Instagram; TikTok; Youtube(videos); etc|Specialized online platforms - Rate Your Music; Pitchfork; Wire; etc|Games; movies; other forms of digital content",No,Yes,"At parties; when I'm visiting someone; in a car|Concerts; clubs; street performances","Often; a couple of times a month","Very often; every week or so","Online; sending links from streaming platforms via messengers|Offline; in a car; at someone's place etc","Spotify|VK Music|SoundCloud|Bandcamp|Youtube Music",I would use these features often,бас в девяточку литую
2142025 12:40:42,,"Streaming platforms - Spotify; Apple Music; Yandex Music and others",Everyday,100-500,Mostly,"Pretty often; every week or so","From people I know|Non-specialized online platforms - Instagram; TikTok; Youtube(videos); etc",Yes,"No; I already have enough people around me with whom I can share the music I like","At parties; when I'm visiting someone; in a car|Online via Spotify Jam|Discord bots and other similar instruments","Very often; every week or so","Often; a couple of times a month","Online; sending links from streaming platforms via messengers","Yandex Music|VK Music",I wouldn't almost use these features,Trailer/teaser parts of songs ±15 sec
2142025 12:46:13,,"Streaming platforms - Spotify; Apple Music; Yandex Music and others|Vinyl; CD discs and other physical media|Downloaded files",Everyday,500-1000,Rather no than yes,Every or almost every day,"From people I know|Specialized online platforms - Rate Your Music; Pitchfork; Wire; etc|Games; movies; other forms of digital content",No,"No; I do not feel the need in that","At parties; when I'm visiting someone; in a car|Concerts; clubs; street performances","Often; a couple of times a month","Very often; every week or so","Online; sending links from streaming platforms via messengers|Offline; in a car; at someone's place etc|Via sharing the physical media(eg giving a vinyl to a friend for a listen)","Apple Music|VK Music|Bandcamp",I would use these features rarely,"I’d love to be able to upload songs for my personal use so they would be with the albums that are present on the platform But it probably violates some piracy laws…

Also if an album has alternative covers it would be cool to be able to choose the cover I want manually"
2142025 12:56:41,,"Streaming platforms - Spotify; Apple Music; Yandex Music and others",Everyday,500-1000,Mostly,"Often; a couple of times a week","At random - in cafes; shops and other venues|From people I know|Non-specialized online platforms - Instagram; TikTok; Youtube(videos); etc|Games; movies; other forms of digital content|моя волна в яндекс музыке считается? ахахахах",Yes,"No; I already have enough people around me with whom I can share the music I like","At parties; when I'm visiting someone; in a car|Concerts; clubs; street performances|At work",Almost every day,"Often; a couple of times a month","Online; sending links from streaming platforms via messengers|Offline; in a car; at someone's place etc","Spotify|Yandex Music",I wouldn't use these features,"не везде есть текст песен; хотелось бы; чтобы он автоматизированно как-нибудь добавлялся и был во всех "
2142025 12:57:19,18-30 years old,"Streaming platforms - Spotify; Apple Music; Yandex Music and others|Downloaded files",Everyday,1000+,Rather no than yes,"Often; a couple of times a week","At random - in cafes; shops and other venues|From people I know|Non-specialized online platforms - Instagram; TikTok; Youtube(videos); etc|Specialized online platforms - Rate Your Music; Pitchfork; Wire; etc|Games; movies; other forms of digital content",No,Yes,"At parties; when I'm visiting someone; in a car|Online via Spotify Jam|Discord bots and other similar instruments|Concerts; clubs; street performances","Often; a couple of times a month","Very often; every week or so","Online; sending links from streaming platforms via messengers","Spotify|SoundCloud",I would use these features often,
2142025 13:02:05,18-30 years old,"Streaming platforms - Spotify; Apple Music; Yandex Music and others","Often; but not everyday - eg 3-5 days a week",100-500,Mostly,"Rarely; maybe a handful times a month","At random - in cafes; shops and other venues|From people I know",No,Yes,"At parties; when I'm visiting someone; in a car|Online via Spotify Jam|Discord bots and other similar instruments|Concerts; clubs; street performances","Often; a couple of times a month","Rarely; every one or two months","Offline; in a car; at someone's place etc",Yandex Music,I wouldn't use these features,
2142025 13:10:48,18-30 years old,"Streaming platforms - Spotify; Apple Music; Yandex Music and others",Everyday,1000+,Rather no than yes,"Pretty often; every week or so","From people I know|Non-specialized online platforms - Instagram; TikTok; Youtube(videos); etc|Games; movies; other forms of digital content",Yes,Yes,"At parties; when I'm visiting someone; in a car|Concerts; clubs; street performances|At work","Very often; every week or so","Often; a couple of times a month","Online; sending links from streaming platforms via messengers|Offline; in a car; at someone's place etc","Yandex Music|VK Music",I would use these features often,
2142025 13:12:24,18-30 years old,"Streaming platforms - Spotify; Apple Music; Yandex Music and others",Everyday,50-100,Mostly,"Rarely; maybe a handful times a month","From people I know|Specialized online platforms - Rate Your Music; Pitchfork; Wire; etc",Yes,Yes,"At parties; when I'm visiting someone; in a car|Concerts; clubs; street performances","Often; a couple of times a month","Often; a couple of times a month","Offline; in a car; at someone's place etc",Yandex Music,I would use these features rarely,-
2142025 13:13:54,18-30 years old,"Streaming platforms - Spotify; Apple Music; Yandex Music and others",Everyday,500-1000,Rather no than yes,"Pretty often; every week or so","At random - in cafes; shops and other venues|From people I know|Non-specialized online platforms - Instagram; TikTok; Youtube(videos); etc|Games; movies; other forms of digital content",Yes,Yes,"At parties; when I'm visiting someone; in a car|Concerts; clubs; street performances|At work","Very often; every week or so","Often; a couple of times a month","Online; sending links from streaming platforms via messengers|Offline; in a car; at someone's place etc","Yandex Music|VK Music",I would use these features often,
2142025 13:19:35,18-30 years old,"Streaming platforms - Spotify; Apple Music; Yandex Music and others",Everyday,500-1000,Yes,"Pretty often; every week or so","Non-specialized online platforms - Instagram; TikTok; Youtube(videos); etc",No,Yes,"At parties; when I'm visiting someone; in a car|Online via Spotify Jam|Discord bots and other similar instruments|Concerts; clubs; street performances","Very often; every week or so","Very often; every week or so","Online; sending links from streaming platforms via messengers|Offline; in a car; at someone's place etc",VK Music,I would use these features often,
2142025 13:26:07,18-30 years old,"Streaming platforms - Spotify; Apple Music; Yandex Music and others",Everyday,500-1000,Mostly,"Often; a couple of times a week","At random - in cafes; shops and other venues|From people I know|Non-specialized online platforms - Instagram; TikTok; Youtube(videos); etc|Games; movies; other forms of digital content",Yes,"No; I already have enough people around me with whom I can share the music I like","At parties; when I'm visiting someone; in a car|Concerts; clubs; street performances|At work","Very often; every week or so",Almost every day,"Online; sending links from streaming platforms via messengers|Offline; in a car; at someone's place etc","Spotify|VK Music",I would use these features often,
2142025 14:08:28,18-30 years old,"Streaming platforms - Spotify; Apple Music; Yandex Music and others",Everyday,100-500,No,"Often; a couple of times a week","Non-specialized online platforms - Instagram; TikTok; Youtube(videos); etc|Games; movies; other forms of digital content|Spotify Radio",No,"No; I do not feel the need in that","At parties; when I'm visiting someone; in a car|Online via Spotify Jam|Discord bots and other similar instruments|Concerts; clubs; street performances","Often; a couple of times a month","Very often; every week or so","Online; sending links from streaming platforms via messengers","Spotify|SoundCloud",I wouldn't use these features,Usually Spotify/SC recommends new music using your preferences I’d like to see a feature like “Random Music/New for you”
2142025 14:11:08,18-30 years old,"Streaming platforms - Spotify; Apple Music; Yandex Music and others","Often; but not everyday - eg 3-5 days a week",50-100,Rather no than yes,"Rarely; maybe a handful times a month","Non-specialized online platforms - Instagram; TikTok; Youtube(videos); etc",Yes,"No; I already have enough people around me with whom I can share the music I like",At parties; when I'm visiting someone; in a car,"Often; a couple of times a month","Rarely; every one or two months","Offline; in a car; at someone's place etc",Spotify,I would use these features rarely,
2142025 14:46:02,18-30 years old,"Streaming platforms - Spotify; Apple Music; Yandex Music and others","Often; but not everyday - eg 3-5 days a week",100-500,Mostly,"Rarely; maybe a handful times a month","Non-specialized online platforms - Instagram; TikTok; Youtube(videos); etc",Yes,"No; I already have enough people around me with whom I can share the music I like",At parties; when I'm visiting someone; in a car,"Often; a couple of times a month","Often; a couple of times a month","Online; sending links from streaming platforms via messengers|Offline; in a car; at someone's place etc",Yandex Music,I would use these features rarely,
2142025 14:52:41,18-30 years old,"Streaming platforms - Spotify; Apple Music; Yandex Music and others|Vinyl; CD discs and other physical media|Downloaded files",Everyday,500-1000,Mostly,"Often; a couple of times a week","At random - in cafes; shops and other venues|From people I know|Non-specialized online platforms - Instagram; TikTok; Youtube(videos); etc|Specialized online platforms - Rate Your Music; Pitchfork; Wire; etc|Games; movies; other forms of digital content|Recommendations on streaming platforms",No,Yes,"At parties; when I'm visiting someone; in a car|Online via Spotify Jam|Discord bots and other similar instruments|Concerts; clubs; street performances","Often; a couple of times a month","Often; a couple of times a month","Online; sending links from streaming platforms via messengers|Offline; in a car; at someone's place etc|Via sharing the physical media(eg giving a vinyl to a friend for a listen)",Spotify,I would use these features often,
2142025 14:56:40,18-30 years old,"Streaming platforms - Spotify; Apple Music; Yandex Music and others",Everyday,1000+,No,"Often; a couple of times a week","From people I know|Non-specialized online platforms - Instagram; TikTok; Youtube(videos); etc|Recommendations on streaming platforms",No,"No; I already have enough people around me with whom I can share the music I like","Concerts; clubs; street performances|At work","Often; a couple of times a month","Often; a couple of times a month","Offline; in a car; at someone's place etc","Spotify|Yandex Music",I wouldn't use these features,no
2142025 15:05:05,18-30 years old,"Streaming platforms - Spotify; Apple Music; Yandex Music and others",Everyday,500-1000,Mostly,"Pretty often; every week or so","At random - in cafes; shops and other venues|From people I know|Non-specialized online platforms - Instagram; TikTok; Youtube(videos); etc|Recommendations on streaming platforms",No,Yes,"At parties; when I'm visiting someone; in a car|Concerts; clubs; street performances|At work","Often; a couple of times a month","Very often; every week or so","Offline; in a car; at someone's place etc",Yandex Music,I would use these features rarely,
2142025 15:06:42,18-30 years old,"Streaming platforms - Spotify; Apple Music; Yandex Music and others",Everyday,"100-500|50-100",Mostly,"Pretty often; every week or so","From people I know|Specialized online platforms - Rate Your Music; Pitchfork; Wire; etc|Recommendations on streaming platforms",Yes,"No; I do not feel the need in that","At parties; when I'm visiting someone; in a car|Online via Spotify Jam|Discord bots and other similar instruments|Concerts; clubs; street performances","Rarely; every one or two months","Very often; every week or so","Online; sending links from streaming platforms via messengers|Offline; in a car; at someone's place etc","Spotify|Yandex Music",I wouldn't use these features,Sharing music in a streaming app
2142025 15:08:01,18-30 years old,"Streaming platforms - Spotify; Apple Music; Yandex Music and others",Everyday,100-500,Yes,"Pretty often; every week or so","From people I know|Specialized online platforms - Rate Your Music; Pitchfork; Wire; etc|Recommendations on streaming platforms",Yes,"No; I already have enough people around me with whom I can share the music I like",At parties; when I'm visiting someone; in a car,"Often; a couple of times a month","Very often; every week or so","Online; sending links from streaming platforms via messengers",Yandex Music,I would use these features rarely,
2142025 16:00:29,18-30 years old,"Streaming platforms - Spotify; Apple Music; Yandex Music and others",Everyday,1000+,Yes,"Pretty often; every week or so","Non-specialized online platforms - Instagram; TikTok; Youtube(videos); etc|Games; movies; other forms of digital content|Recommendations on streaming platforms",No,"No; I already have enough people around me with whom I can share the music I like","At parties; when I'm visiting someone; in a car|Concerts; clubs; street performances","Often; a couple of times a month","Often; a couple of times a month","Online; sending links from streaming platforms via messengers|Offline; in a car; at someone's place etc",Spotify,I would use these features often,slowing/speeding down/up the songs
2142025 16:18:17,18-30 years old,"Streaming platforms - Spotify; Apple Music; Yandex Music and others",Everyday,"1000+|500-1000",Mostly,"Often; a couple of times a week","At random - in cafes; shops and other venues|From people I know|Non-specialized online platforms - Instagram; TikTok; Youtube(videos); etc|Recommendations on streaming platforms",No,Yes,"At parties; when I'm visiting someone; in a car|Online via Spotify Jam|Discord bots and other similar instruments|Concerts; clubs; street performances","Often; a couple of times a month","Often; a couple of times a month","Online; sending links from streaming platforms via messengers|Offline; in a car; at someone's place etc","Spotify|Yandex Music",I would use these features often,
2142025 16:25:52,18-30 years old,"Streaming platforms - Spotify; Apple Music; Yandex Music and others",Everyday,100-500,Mostly,"Pretty often; every week or so","At random - in cafes; shops and other venues|From people I know|Non-specialized online platforms - Instagram; TikTok; Youtube(videos); etc|Games; movies; other forms of digital content|Recommendations on streaming platforms",Yes,"No; I do not feel the need in that","At parties; when I'm visiting someone; in a car|Concerts; clubs; street performances|At work","Very often; every week or so","Rarely; every one or two months","Offline; in a car; at someone's place etc","Spotify|SoundCloud",I wouldn't use these features,
2142025 16:32:02,18-30 years old,"Streaming platforms - Spotify; Apple Music; Yandex Music and others","Often; but not everyday - eg 3-5 days a week",50-100,Mostly,"Rarely; maybe a handful times a month","Non-specialized online platforms - Instagram; TikTok; Youtube(videos); etc|Games; movies; other forms of digital content",No,"No; I do not feel the need in that",At parties; when I'm visiting someone; in a car,"Often; a couple of times a month","Rarely; every one or two months","Online; sending links from streaming platforms via messengers",Youtube Music,I would use these features often,
2142025 16:41:17,18-30 years old,"Streaming platforms - Spotify; Apple Music; Yandex Music and others",Everyday,100-500,Yes,"Rarely; maybe a handful times a month","At random - in cafes; shops and other venues|Non-specialized online platforms - Instagram; TikTok; Youtube(videos); etc|Specialized online platforms - Rate Your Music; Pitchfork; Wire; etc|Games; movies; other forms of digital content|Recommendations on streaming platforms",No,Yes,"At parties; when I'm visiting someone; in a car|Concerts; clubs; street performances","Often; a couple of times a month","Very rarely; maybe a couple times a year",,Youtube Music,I wouldn't use these features,
2142025 17:35:21,18-30 years old,"Streaming platforms - Spotify; Apple Music; Yandex Music and others","Often; but not everyday - eg 3-5 days a week",50-100,Mostly,"Often; a couple of times a week","At random - in cafes; shops and other venues|From people I know|Non-specialized online platforms - Instagram; TikTok; Youtube(videos); etc|Games; movies; other forms of digital content|Recommendations on streaming platforms",No,Yes,"At parties; when I'm visiting someone; in a car|Online via Spotify Jam|Discord bots and other similar instruments|Concerts; clubs; street performances","Often; a couple of times a month","Often; a couple of times a month","Online; sending links from streaming platforms via messengers|Offline; in a car; at someone's place etc","Apple Music|VK Music|SoundCloud",I would use these features often,«Save for later” feature
2142025 21:35:30,18-30 years old,"Streaming platforms - Spotify; Apple Music; Yandex Music and others|Downloaded files",Everyday,300-700,Mostly,Every or almost every day,"From people I know|Non-specialized online platforms - Instagram; TikTok; Youtube(videos); etc|Specialized online platforms - Rate Your Music; Pitchfork; Wire; etc|Games; movies; other forms of digital content|Recommendations on streaming platforms",No,Yes,"At parties; when I'm visiting someone; in a car|Online via Spotify Jam|Discord bots and other similar instruments|Concerts; clubs; street performances","Very often; every week or so","Often; a couple of times a month","Online; sending links from streaming platforms via messengers","Spotify|SoundCloud",I would use these features often,"Personal rate system Fuck I need it Ability to give clear priority system to the algorithm in order to get better recommendations

Also I really enjoy how soundcloud made its comment section visible on the auido form Wish more platforms had that feature"
2142025 21:48:59,18-30 years old,"Streaming platforms - Spotify; Apple Music; Yandex Music and others",Everyday,500-1000,Rather no than yes,"Often; a couple of times a week","From people I know|Non-specialized online platforms - Instagram; TikTok; Youtube(videos); etc|Specialized online platforms - Rate Your Music; Pitchfork; Wire; etc|Recommendations on streaming platforms",No,Yes,"At parties; when I'm visiting someone; in a car|Concerts; clubs; street performances|At work","Very often; every week or so","Very often; every week or so","Online; sending links from streaming platforms via messengers|Offline; in a car; at someone's place etc",Spotify,I would use these features often,"could be fun to have timeline comments; eg 'love this bass' appearing at 1:23 sec of the song i'd leave those purely for myself or share and read from the people i follow + not having to explain to people like oh i love the part that starts at 1:23 and just sending a link with a timeline comment would have been nice"
2142025 22:22:08,18-30 years old,"Streaming platforms - Spotify; Apple Music; Yandex Music and others",Everyday,100-500,Yes,"Pretty often; every week or so","Non-specialized online platforms - Instagram; TikTok; Youtube(videos); etc|Recommendations on streaming platforms",Yes,Yes,"At parties; when I'm visiting someone; in a car|Concerts; clubs; street performances","Often; a couple of times a month","Very rarely; maybe a couple times a year","Offline; in a car; at someone's place etc","Apple Music|Yandex Music|VK Music|SoundCloud",,More music
2242025 8:40:30,18-30 years old,"Streaming platforms - Spotify; Apple Music; Yandex Music and others",Everyday,10-50,Yes,"Very rarely; once a couple of months","At random - in cafes; shops and other venues|From people I know|Non-specialized online platforms - Instagram; TikTok; Youtube(videos); etc|Games; movies; other forms of digital content",No,"No; I already have enough people around me with whom I can share the music I like","At parties; when I'm visiting someone; in a car|Concerts; clubs; street performances","Rarely; every one or two months",Almost every day,"Online; sending links from streaming platforms via messengers|Offline; in a car; at someone's place etc",Youtube Music,I wouldn't use these features,"Change search algorithms to select what I actually search; not what I might like according to it"
2242025 10:14:13,18-30 years old,"Streaming platforms - Spotify; Apple Music; Yandex Music and others",Everyday,50-100,Rather no than yes,"Pretty often; every week or so","At random - in cafes; shops and other venues|From people I know|Games; movies; other forms of digital content",No,"No; I already have enough people around me with whom I can share the music I like","At parties; when I'm visiting someone; in a car|Online via Spotify Jam|Discord bots and other similar instruments","Often; a couple of times a month","Often; a couple of times a month","Online; sending links from streaming platforms via messengers","Spotify|Yandex Music|SoundCloud",I would use these features rarely,
2242025 10:47:41,18-30 years old,"Streaming platforms - Spotify; Apple Music; Yandex Music and others",Everyday,500-1000,Mostly,"Often; a couple of times a week","From people I know|Non-specialized online platforms - Instagram; TikTok; Youtube(videos); etc|Recommendations on streaming platforms",Yes,"No; I already have enough people around me with whom I can share the music I like","At parties; when I'm visiting someone; in a car|Concerts; clubs; street performances","Often; a couple of times a month","Very rarely; maybe a couple times a year","Offline; in a car; at someone's place etc","Yandex Music|VK Music|Youtube Music",I would use these features rarely,
2242025 11:10:28,18-30 years old,"Streaming platforms - Spotify; Apple Music; Yandex Music and others","Often; but not everyday - eg 3-5 days a week","100-500|50-100",Mostly,"Pretty often; every week or so","At random - in cafes; shops and other venues|From people I know|Non-specialized online platforms - Instagram; TikTok; Youtube(videos); etc|My wave on music platforms",No,"No; I do not feel the need in that","At parties; when I'm visiting someone; in a car|Concerts; clubs; street performances","Often; a couple of times a month","Rarely; every one or two months","Online; sending links from streaming platforms via messengers|Offline; in a car; at someone's place etc","Yandex Music|VK Music",I wouldn't use these features,
2242025 11:27:53,30-60 years old,"Streaming platforms - Spotify; Apple Music; Yandex Music and others",Once or twice a week at most,50-100,Mostly,"Very rarely; once a couple of months","At random - in cafes; shops and other venues|From people I know|Non-specialized online platforms - Instagram; TikTok; Youtube(videos); etc|Games; movies; other forms of digital content",Yes,"No; I do not feel the need in that","At parties; when I'm visiting someone; in a car|Concerts; clubs; street performances","Often; a couple of times a month","Often; a couple of times a month","Online; sending links from streaming platforms via messengers","Apple Music|Yandex Music|Bandcamp",I wouldn't use these features,
2242025 11:32:05,30-60 years old,"Streaming platforms - Spotify; Apple Music; Yandex Music and others|Downloaded files|online radio",Everyday,100-500,Mostly,"Pretty often; every week or so",Recommendations on streaming platforms,No,Yes,At parties; when I'm visiting someone; in a car,"Often; a couple of times a month","Rarely; every one or two months","Online; sending links from streaming platforms via messengers",Yandex Music,I would use these features rarely,
2242025 11:40:03,18-30 years old,"Streaming platforms - Spotify; Apple Music; Yandex Music and others",Everyday,1000+,Mostly,"Often; a couple of times a week","At random - in cafes; shops and other venues|Recommendations on streaming platforms",Yes,"No; I do not feel the need in that","At parties; when I'm visiting someone; in a car|Concerts; clubs; street performances","Often; a couple of times a month","Rarely; every one or two months","Offline; in a car; at someone's place etc",Yandex Music,I would use these features rarely,
2242025 11:49:18,18-30 years old,"Streaming platforms - Spotify; Apple Music; Yandex Music and others",Everyday,1000+,Mostly,Every or almost every day,"Non-specialized online platforms - Instagram; TikTok; Youtube(videos); etc|Recommendations on streaming platforms",Yes,Yes,"At parties; when I'm visiting someone; in a car|Concerts; clubs; street performances","Very often; every week or so","Very often; every week or so","Online; sending links from streaming platforms via messengers|Offline; in a car; at someone's place etc",Yandex Music,I would use these features often,No
