Timestamp,age,constumption method,listening regularity,song amount month,song consistency,new discovery freq,discovery methods,similar music taste,connect with others,listen together method,listen together freq,share freq,share method,streaming platform,social features use,extra
2742025 22:16:05,18-30 years old,"Streaming platforms - Spotify; Apple Music; Yandex Music and others",Everyday,1000+,Mostly,"Pretty often; every week or so","From people I know|Non-specialized online platforms - Instagram; TikTok; Youtube(videos); etc|Games; movies; other forms of digital content|Recommendations on streaming platforms",Yes,Yes,"At parties; when I'm visiting someone; in a car|Online via Spotify Jam|Discord bots and other similar instruments","Often; a couple of times a month","Rarely; every one or two months","Online; sending links from streaming platforms via messengers|Offline; in a car; at someone's place etc",Spotify,I would use these features rarely,
2742025 22:16:12,18-30 years old,"Streaming platforms - Spotify; Apple Music; Yandex Music and others",Everyday,100-500,Yes,"Pretty often; every week or so","At random - in cafes; shops and other venues|Non-specialized online platforms - Instagram; TikTok; Youtube(videos); etc",No,Yes,At parties; when I'm visiting someone; in a car,Almost every day,"Often; a couple of times a month","Offline; in a car; at someone's place etc","Apple Music|Yandex Music|VK Music",,
2742025 22:23:25,18-30 years old,"Streaming platforms - Spotify; Apple Music; Yandex Music and others",Everyday,100-500,Yes,"Rarely; maybe a handful times a month","At random - in cafes; shops and other venues|Non-specialized online platforms - Instagram; TikTok; Youtube(videos); etc",No,"No; I do not feel the need in that",At parties; when I'm visiting someone; in a car,"Rarely; every one or two months","Very rarely; maybe a couple times a year","Offline; in a car; at someone's place etc",Spotify,I would use these features often,
2742025 22:39:44,18-30 years old,"Streaming platforms - Spotify; Apple Music; Yandex Music and others",Once or twice a week at most,Less than 10,Mostly,"Very rarely; once a couple of months","From people I know|Non-specialized online platforms - Instagram; TikTok; Youtube(videos); etc|Games; movies; other forms of digital content",Yes,Yes,At work,"Rarely; every one or two months","Very rarely; maybe a couple times a year","Offline; in a car; at someone's place etc","Spotify|Youtube Music",I would use these features rarely,
2742025 23:01:55,18-30 years old,"Streaming platforms - Spotify; Apple Music; Yandex Music and others",Everyday,1000+,Mostly,"Pretty often; every week or so","At random - in cafes; shops and other venues|From people I know|Non-specialized online platforms - Instagram; TikTok; Youtube(videos); etc|Games; movies; other forms of digital content",Yes,Yes,"At parties; when I'm visiting someone; in a car|Concerts; clubs; street performances|At work","Very often; every week or so","Often; a couple of times a month","Online; sending links from streaming platforms via messengers|Offline; in a car; at someone's place etc","Apple Music|Yandex Music|SoundCloud",I would use these features often,
2742025 23:35:55,18-30 years old,"Streaming platforms - Spotify; Apple Music; Yandex Music and others",Everyday,100-500,Mostly,"Rarely; maybe a handful times a month","Non-specialized online platforms - Instagram; TikTok; Youtube(videos); etc|Recommendations on streaming platforms",No,Yes,At parties; when I'm visiting someone; in a car,"Often; a couple of times a month","Rarely; every one or two months","Offline; in a car; at someone's place etc",Apple Music,I would use these features often,
2842025 2:25:00,18-30 years old,"Streaming platforms - Spotify; Apple Music; Yandex Music and others",Everyday,100-500,Mostly,"Rarely; maybe a handful times a month",,Yes,Yes,At parties; when I'm visiting someone; in a car,"Often; a couple of times a month","Very often; every week or so","Online; sending links from streaming platforms via messengers",Spotify,I would use these features often,
2842025 6:03:08,18-30 years old,"Streaming platforms - Spotify; Apple Music; Yandex Music and others",Everyday,100-500,Mostly,"Rarely; maybe a handful times a month","At random - in cafes; shops and other venues|From people I know|Non-specialized online platforms - Instagram; TikTok; Youtube(videos); etc|Specialized online platforms - Rate Your Music; Pitchfork; Wire; etc|Games; movies; other forms of digital content|Recommendations on streaming platforms",No,Yes,"At parties; when I'm visiting someone; in a car|Online via Spotify Jam|Discord bots and other similar instruments","Often; a couple of times a month","Often; a couple of times a month","Offline; in a car; at someone's place etc","Spotify|Apple Music|Yandex Music",I would use these features rarely,
2842025 7:31:57,18-30 years old,"Streaming platforms - Spotify; Apple Music; Yandex Music and others",Everyday,500-1000,Mostly,"Rarely; maybe a handful times a month",Recommendations on streaming platforms,Yes,"No; I do not feel the need in that",At parties; when I'm visiting someone; in a car,"Very rarely; maybe a couple times a year","Very rarely; maybe a couple times a year","Offline; in a car; at someone's place etc",Yandex Music,I would use these features rarely,
2842025 8:07:41,18-30 years old,"Streaming platforms - Spotify; Apple Music; Yandex Music and others","Often; but not everyday - eg 3-5 days a week",50-100,Mostly,"Rarely; maybe a handful times a month",Recommendations on streaming platforms,Yes,"No; I already have enough people around me with whom I can share the music I like","Concerts; clubs; street performances","Rarely; every one or two months","Rarely; every one or two months","Online; sending links from streaming platforms via messengers|Offline; in a car; at someone's place etc",Spotify,I wouldn't use these features,No
2842025 9:47:27,18-30 years old,"Streaming platforms - Spotify; Apple Music; Yandex Music and others",Everyday,100-500,Yes,"Pretty often; every week or so","At random - in cafes; shops and other venues|From people I know|Non-specialized online platforms - Instagram; TikTok; Youtube(videos); etc",Yes,Yes,"At parties; when I'm visiting someone; in a car|Concerts; clubs; street performances|At work","Often; a couple of times a month","Often; a couple of times a month","Online; sending links from streaming platforms via messengers|Offline; in a car; at someone's place etc","Spotify|Youtube Music",I would use these features rarely,No
2842025 10:00:48,18-30 years old,"Streaming platforms - Spotify; Apple Music; Yandex Music and others",Everyday,50-100,Mostly,"Pretty often; every week or so",Recommendations on streaming platforms,No,"No; I do not feel the need in that","At parties; when I'm visiting someone; in a car|Concerts; clubs; street performances","Rarely; every one or two months","Very rarely; maybe a couple times a year","Offline; in a car; at someone's place etc","Yandex Music|VK Music",I wouldn't use these features,Notifications about new songs of favourite artists
2842025 10:13:51,18-30 years old,"Streaming platforms - Spotify; Apple Music; Yandex Music and others",Everyday,500-1000,Mostly,"Rarely; maybe a handful times a month","At random - in cafes; shops and other venues|From people I know|Non-specialized online platforms - Instagram; TikTok; Youtube(videos); etc|Recommendations on streaming platforms",No,Yes,"At parties; when I'm visiting someone; in a car|Online via Spotify Jam|Discord bots and other similar instruments","Rarely; every one or two months","Very rarely; maybe a couple times a year","Offline; in a car; at someone's place etc","Spotify|Youtube Music",I wouldn't use these features,No
2842025 10:20:22,18-30 years old,"Streaming platforms - Spotify; Apple Music; Yandex Music and others",Everyday,50-100,Mostly,"Pretty often; every week or so","Specialized online platforms - Rate Your Music; Pitchfork; Wire; etc|Recommendations on streaming platforms",Yes,"No; I already have enough people around me with whom I can share the music I like","At parties; when I'm visiting someone; in a car|Online via Spotify Jam|Discord bots and other similar instruments|Concerts; clubs; street performances","Very often; every week or so","Very often; every week or so","Online; sending links from streaming platforms via messengers|Offline; in a car; at someone's place etc","Apple Music|SoundCloud",I would use these features often,
2842025 16:58:08,18-30 years old,"Streaming platforms - Spotify; Apple Music; Yandex Music and others","Often; but not everyday - eg 3-5 days a week",50-100,Mostly,"Pretty often; every week or so","Non-specialized online platforms - Instagram; TikTok; Youtube(videos); etc|Recommendations on streaming platforms",Yes,"No; I already have enough people around me with whom I can share the music I like","Online via Spotify Jam|Discord bots and other similar instruments","Rarely; every one or two months","Often; a couple of times a month","Online; sending links from streaming platforms via messengers",Spotify,I would use these features rarely,
2842025 16:59:02,18-30 years old,"Streaming platforms - Spotify; Apple Music; Yandex Music and others|Downloaded files",Everyday,50-100,Yes,"Rarely; maybe a handful times a month","From people I know|Non-specialized online platforms - Instagram; TikTok; Youtube(videos); etc|Games; movies; other forms of digital content|Radio at home",No,"No; I do not feel the need in that",Radio at home,"Often; a couple of times a month","Rarely; every one or two months","Online; sending links from streaming platforms via messengers",Youtube Music,I wouldn't use these features,
2842025 17:10:52,18-30 years old,"Streaming platforms - Spotify; Apple Music; Yandex Music and others",Everyday,500-1000,Mostly,"Pretty often; every week or so","At random - in cafes; shops and other venues|From people I know",No,Yes,At parties; when I'm visiting someone; in a car,"Rarely; every one or two months","Often; a couple of times a month","Offline; in a car; at someone's place etc","Youtube Music|Youtube (there are often different demo or unreleased versions of songs I am interested in)",I would use these features rarely,"Considering an album (LP); I would like to rate individual songs and album itself; and share the rating with others And I could see ratings of other people"
2842025 19:47:38,18-30 years old,"Streaming platforms - Spotify; Apple Music; Yandex Music and others",Once or twice a week at most,"100-500|50-100",Mostly,"Pretty often; every week or so","At random - in cafes; shops and other venues|From people I know|Games; movies; other forms of digital content|Recommendations on streaming platforms",No,Yes,"At parties; when I'm visiting someone; in a car|Concerts; clubs; street performances|At work","Very rarely; maybe a couple times a year","Very rarely; maybe a couple times a year","Online; sending links from streaming platforms via messengers","Yandex Music|Youtube Music",I would use these features rarely,There is not
2942025 5:24:04,30-60 years old,"Streaming platforms - Spotify; Apple Music; Yandex Music and others",Everyday,50-100,Yes,"Often; a couple of times a week",,Yes,Yes,At work,"Very often; every week or so","Rarely; every one or two months","Online; sending links from streaming platforms via messengers",Yandex Music,,
2942025 11:30:14,30-60 years old,"Streaming platforms - Spotify; Apple Music; Yandex Music and others|Vinyl; CD discs and other physical media|Downloaded files",Everyday,1000+,Yes,"Pretty often; every week or so","From people I know|Specialized online platforms - Rate Your Music; Pitchfork; Wire; etc|Recommendations on streaming platforms",No,Yes,"At parties; when I'm visiting someone; in a car|At work",Almost every day,"Often; a couple of times a month","Online; sending links from streaming platforms via messengers|Offline; in a car; at someone's place etc|Via sharing the physical media(eg giving a vinyl to a friend for a listen)",Spotify,I would use these features rarely,
3042025 2:18:15,18-30 years old,"Streaming platforms - Spotify; Apple Music; Yandex Music and others","Often; but not everyday - eg 3-5 days a week",50-100,Mostly,"Rarely; maybe a handful times a month","At random - in cafes; shops and other venues|Games; movies; other forms of digital content|Recommendations on streaming platforms|Listening to new releases of artists I like",No,Yes,"At parties; when I'm visiting someone; in a car|Concerts; clubs; street performances","Rarely; every one or two months","Rarely; every one or two months","Online; sending links from streaming platforms via messengers|Offline; in a car; at someone's place etc","Spotify|Apple Music|Youtube Music",I wouldn't use these features,
3042025 7:50:50,0-18 years old,"Streaming platforms - Spotify; Apple Music; Yandex Music and others",Everyday,1000+,Mostly,"Rarely; maybe a handful times a month","From people I know|Non-specialized online platforms - Instagram; TikTok; Youtube(videos); etc|Buying new physical releases(vinyl; cds )|Recommendations on streaming platforms",No,Yes,"At parties; when I'm visiting someone; in a car|Concerts; clubs; street performances","Often; a couple of times a month",Almost every day,"Online; sending links from streaming platforms via messengers|Offline; in a car; at someone's place etc|Via sharing the physical media(eg giving a vinyl to a friend for a listen)","Spotify|Yandex Music|Youtube Music",I would use these features rarely,
3042025 8:13:06,0-18 years old,"Streaming platforms - Spotify; Apple Music; Yandex Music and others",Everyday,100-500,Yes,"Rarely; maybe a handful times a month","Non-specialized online platforms - Instagram; TikTok; Youtube(videos); etc",Yes,Yes,"Online via Spotify Jam|Discord bots and other similar instruments","Rarely; every one or two months","Rarely; every one or two months","Online; sending links from streaming platforms via messengers","Yandex Music|VK Music",I would use these features rarely,
3042025 8:30:02,0-18 years old,"Streaming platforms - Spotify; Apple Music; Yandex Music and others|Downloaded files",Everyday,10-50,Rather no than yes,"Pretty often; every week or so","At random - in cafes; shops and other venues|Non-specialized online platforms - Instagram; TikTok; Youtube(videos); etc|Games; movies; other forms of digital content",No,Yes,"At parties; when I'm visiting someone; in a car|Online via Spotify Jam|Discord bots and other similar instruments","Often; a couple of times a month","Very rarely; maybe a couple times a year","Online; sending links from streaming platforms via messengers",Yandex Music,I would use these features rarely,
3042025 8:31:06,0-18 years old,"Streaming platforms - Spotify; Apple Music; Yandex Music and others",Everyday,500-1000,Rather no than yes,"Pretty often; every week or so",Recommendations on streaming platforms,No,I'm afraid of people,At parties; when I'm visiting someone; in a car,"Rarely; every one or two months","Often; a couple of times a month","Online; sending links from streaming platforms via messengers","Spotify|VK Music",I would use these features rarely,I dunno
3042025 8:33:48,0-18 years old,"Streaming platforms - Spotify; Apple Music; Yandex Music and others",Everyday,500-1000,Mostly,"Pretty often; every week or so","From people I know|Non-specialized online platforms - Instagram; TikTok; Youtube(videos); etc",No,"No; I already have enough people around me with whom I can share the music I like",At parties; when I'm visiting someone; in a car,"Very often; every week or so","Very rarely; maybe a couple times a year","Offline; in a car; at someone's place etc","Apple Music|Yandex Music",I would use these features often,
3042025 8:39:43,0-18 years old,"Streaming platforms - Spotify; Apple Music; Yandex Music and others",Everyday,500-1000,Mostly,"Rarely; maybe a handful times a month","Non-specialized online platforms - Instagram; TikTok; Youtube(videos); etc",No,Yes,At parties; when I'm visiting someone; in a car,"Very often; every week or so","Rarely; every one or two months","Offline; in a car; at someone's place etc","Spotify|Yandex Music|VK Music|SoundCloud",I would use these features rarely,no
3042025 8:41:10,0-18 years old,"Streaming platforms - Spotify; Apple Music; Yandex Music and others|Downloaded files","Once or twice a week at most|Only on special occasions",Less than 10,Yes,"Rarely; maybe a handful times a month","At random - in cafes; shops and other venues|Non-specialized online platforms - Instagram; TikTok; Youtube(videos); etc|Games; movies; other forms of digital content|Recommendations on streaming platforms",No,Yes,"Online via Spotify Jam|Discord bots and other similar instruments","Very rarely; maybe a couple times a year","Often; a couple of times a month","Online; sending links from streaming platforms via messengers","Youtube Music|NewPipe|YT Revanced",I would use these features rarely,
3042025 8:41:48,0-18 years old,"Streaming platforms - Spotify; Apple Music; Yandex Music and others",Everyday,1000+,No,Every or almost every day,"At random - in cafes; shops and other venues|Non-specialized online platforms - Instagram; TikTok; Youtube(videos); etc",No,Yes,"At parties; when I'm visiting someone; in a car|Concerts; clubs; street performances","Very often; every week or so","Very often; every week or so","Offline; in a car; at someone's place etc","Apple Music|Yandex Music",I wouldn't use these features,
3042025 8:43:08,0-18 years old,"Streaming platforms - Spotify; Apple Music; Yandex Music and others",Everyday,500-1000,Mostly,"Rarely; maybe a handful times a month","At random - in cafes; shops and other venues|From people I know|Non-specialized online platforms - Instagram; TikTok; Youtube(videos); etc",Yes,"No; I do not feel the need in that","Concerts; clubs; street performances|At work","Very rarely; maybe a couple times a year","Rarely; every one or two months","Offline; in a car; at someone's place etc",Spotify,I wouldn't use these features,Nothing
3042025 8:43:22,0-18 years old,"Streaming platforms - Spotify; Apple Music; Yandex Music and others",Everyday,1000+,Mostly,"Pretty often; every week or so","Non-specialized online platforms - Instagram; TikTok; Youtube(videos); etc",Yes,"No; I already have enough people around me with whom I can share the music I like","Concerts; clubs; street performances","Rarely; every one or two months","Very rarely; maybe a couple times a year","Online; sending links from streaming platforms via messengers",VK Music,I would use these features often,
3042025 8:43:36,0-18 years old,"Streaming platforms - Spotify; Apple Music; Yandex Music and others|Vinyl; CD discs and other physical media",Everyday,100-500,Mostly,"Pretty often; every week or so","Non-specialized online platforms - Instagram; TikTok; Youtube(videos); etc|Games; movies; other forms of digital content",Yes,"No; I already have enough people around me with whom I can share the music I like","Concerts; clubs; street performances","Often; a couple of times a month",Almost every day,"Online; sending links from streaming platforms via messengers",Apple Music,I would use these features rarely,No
3042025 8:44:28,0-18 years old,"Streaming platforms - Spotify; Apple Music; Yandex Music and others",Everyday,1000+,Yes,"Often; a couple of times a week","At random - in cafes; shops and other venues|From people I know|Non-specialized online platforms - Instagram; TikTok; Youtube(videos); etc|Specialized online platforms - Rate Your Music; Pitchfork; Wire; etc",Yes,Yes,At parties; when I'm visiting someone; in a car,"Very often; every week or so","Rarely; every one or two months","Offline; in a car; at someone's place etc",Apple Music,I would use these features rarely,"No; that is enough "
3042025 8:44:37,0-18 years old,"Streaming platforms - Spotify; Apple Music; Yandex Music and others",Everyday,1000+,Mostly,"Often; a couple of times a week","At random - in cafes; shops and other venues|From people I know|Non-specialized online platforms - Instagram; TikTok; Youtube(videos); etc|Games; movies; other forms of digital content",No,"No; I already have enough people around me with whom I can share the music I like",At parties; when I'm visiting someone; in a car,"Very often; every week or so","Rarely; every one or two months","Offline; in a car; at someone's place etc","Apple Music|Yandex Music",I would use these features rarely,idk
3042025 8:45:04,0-18 years old,"Streaming platforms - Spotify; Apple Music; Yandex Music and others|Downloaded files",Everyday,1000+,Mostly,"Pretty often; every week or so","At random - in cafes; shops and other venues|From people I know|Non-specialized online platforms - Instagram; TikTok; Youtube(videos); etc|Specialized online platforms - Rate Your Music; Pitchfork; Wire; etc|Games; movies; other forms of digital content|Recommendations on streaming platforms",Yes,Yes,"At parties; when I'm visiting someone; in a car|Online via Spotify Jam|Discord bots and other similar instruments","Often; a couple of times a month","Rarely; every one or two months","Online; sending links from streaming platforms via messengers|Offline; in a car; at someone's place etc","Yandex Music|Youtube Music",I would use these features often,42
3042025 8:45:26,0-18 years old,"Streaming platforms - Spotify; Apple Music; Yandex Music and others","Often; but not everyday - eg 3-5 days a week",100-500,Yes,"Pretty often; every week or so","Non-specialized online platforms - Instagram; TikTok; Youtube(videos); etc|Games; movies; other forms of digital content",Yes,Yes,At parties; when I'm visiting someone; in a car,"Often; a couple of times a month",Almost every day,"Online; sending links from streaming platforms via messengers","Apple Music|SoundCloud",I wouldn't use these features,No
3042025 8:45:52,0-18 years old,"Streaming platforms - Spotify; Apple Music; Yandex Music and others",Everyday,500-1000,Mostly,"Often; a couple of times a week",Recommendations on streaming platforms,Yes,Yes,"At parties; when I'm visiting someone; in a car|Online via Spotify Jam|Discord bots and other similar instruments|Concerts; clubs; street performances","Often; a couple of times a month","Often; a couple of times a month","Online; sending links from streaming platforms via messengers|Offline; in a car; at someone's place etc|Via sharing the physical media(eg giving a vinyl to a friend for a listen)","Apple Music|Yandex Music",I wouldn't use these features,I would like to see more old music
3042025 8:46:22,0-18 years old,"Streaming platforms - Spotify; Apple Music; Yandex Music and others","Often; but not everyday - eg 3-5 days a week",100-500,Mostly,"Rarely; maybe a handful times a month","At random - in cafes; shops and other venues|From people I know|Non-specialized online platforms - Instagram; TikTok; Youtube(videos); etc",Yes,"No; I already have enough people around me with whom I can share the music I like",At parties; when I'm visiting someone; in a car,"Often; a couple of times a month","Often; a couple of times a month","Online; sending links from streaming platforms via messengers|Offline; in a car; at someone's place etc|Via sharing the physical media(eg giving a vinyl to a friend for a listen)","Yandex Music|SoundCloud",I wouldn't use these features,"I think; no"
3042025 8:46:25,0-18 years old,"Streaming platforms - Spotify; Apple Music; Yandex Music and others",Everyday,500-1000,Rather no than yes,"Rarely; maybe a handful times a month","Non-specialized online platforms - Instagram; TikTok; Youtube(videos); etc|Games; movies; other forms of digital content|Recommendations on streaming platforms",Yes,Yes,"At parties; when I'm visiting someone; in a car|At work","Often; a couple of times a month","Very often; every week or so","Online; sending links from streaming platforms via messengers|Offline; in a car; at someone's place etc",Yandex Music,I would use these features often,Idk
152025 11:16:46,30-60 years old,"Streaming platforms - Spotify; Apple Music; Yandex Music and others|Downloaded files","Often; but not everyday - eg 3-5 days a week",1000+,Rather no than yes,"Often; a couple of times a week","From people I know|Specialized online platforms - Rate Your Music; Pitchfork; Wire; etc|Recommendations on streaming platforms",No,"No; I do not feel the need in that","At parties; when I'm visiting someone; in a car|At work",Almost every day,"Often; a couple of times a month","Online; sending links from streaming platforms via messengers|Offline; in a car; at someone's place etc","Spotify|Bandcamp",I would use these features often,
152025 11:18:09,18-30 years old,"Streaming platforms - Spotify; Apple Music; Yandex Music and others",Everyday,1000+,Rather no than yes,Every or almost every day,"At random - in cafes; shops and other venues|From people I know|Non-specialized online platforms - Instagram; TikTok; Youtube(videos); etc|Specialized online platforms - Rate Your Music; Pitchfork; Wire; etc|Games; movies; other forms of digital content|Recommendations on streaming platforms",No,Yes,"At parties; when I'm visiting someone; in a car|Online via Spotify Jam|Discord bots and other similar instruments|Concerts; clubs; street performances","Very often; every week or so","Very often; every week or so","Online; sending links from streaming platforms via messengers|Offline; in a car; at someone's place etc","Spotify|SoundCloud|Youtube",I would use these features often,
352025 12:07:08,30-60 years old,"Streaming platforms - Spotify; Apple Music; Yandex Music and others","Often; but not everyday - eg 3-5 days a week",500-1000,Mostly,"Often; a couple of times a week","From people I know|Specialized online platforms - Rate Your Music; Pitchfork; Wire; etc|Recommendations on streaming platforms",No,"No; I do not feel the need in that","At parties; when I'm visiting someone; in a car|Concerts; clubs; street performances|At work","Often; a couple of times a month","Often; a couple of times a month","Online; sending links from streaming platforms via messengers|Offline; in a car; at someone's place etc",Spotify,I would use these features often,
352025 12:09:06,0-18 years old,"Streaming platforms - Spotify; Apple Music; Yandex Music and others",Everyday,1000+,Rather no than yes,Every or almost every day,"At random - in cafes; shops and other venues|From people I know|Non-specialized online platforms - Instagram; TikTok; Youtube(videos); etc|Games; movies; other forms of digital content|Recommendations on streaming platforms",Yes,Yes,"At parties; when I'm visiting someone; in a car|Online via Spotify Jam|Discord bots and other similar instruments|Concerts; clubs; street performances","Very often; every week or so","Very often; every week or so","Online; sending links from streaming platforms via messengers|Offline; in a car; at someone's place etc","Spotify|SoundCloud|YouTube(not youtube music; but regular youtube)",I would use these features often,"better sorting based on genre|mood and all that stuff"